Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
5.pgm,92.8962,28.45082411705104,131.9536,26.926591175903013
6.pgm,89.4962,28.612757652622435,133.0286,26.89135340300058
7.pgm,89.2419,28.625115528337485,127.177,27.086717847462833
8.pgm,81.4322,29.022841928692067,115.1649,27.517602260435172
9.pgm,87.9866,28.686638249584412,126.8069,27.099374752212885
10.pgm,85.7818,28.796852058631345,122.539,27.248060289902547
1.pgm,107.4442,27.818973842789877,154.2054,26.249807786630917
2.pgm,112.1732,27.63191251562638,165.0714,25.95408526237012
3.pgm,122.8356,27.23756109348461,171.3159,25.792826887266305
4.pgm,118.5299,27.392524428674303,165.8116,25.93465450819121
5.pgm,116.6915,27.46041138391867,155.1139,26.224296435003943
6.pgm,121.4479,27.28690351206357,169.2406,25.845758045240203
7.pgm,102.2436,28.034442282635833,142.8779,26.581153024779347
8.pgm,114.3121,27.5498815772459,165.6712,25.938333429022418
9.pgm,117.4148,27.43357518187814,171.4397,25.78968962799482
10.pgm,110.5572,27.69493329751932,159.9175,26.091843690568204
1.pgm,83.2245,28.92829166205841,123.5268,27.213191698355246
2.pgm,75.1191,29.373299848496742,104.3034,27.94781895421517
3.pgm,81.4933,29.01958456332099,111.025,27.67659579022197
4.pgm,80.0605,29.096620628010115,117.4493,27.432299281497162
5.pgm,91.3757,28.522496438981864,132.6027,26.90527993788876
6.pgm,92.7808,28.456222479763138,134.521,26.84290273762127
7.pgm,84.6419,28.85494957237124,112.4324,27.621888795854353
8.pgm,97.51,28.2403120442969,139.5603,26.68318466527746
9.pgm,90.9422,28.543149047716007,131.5197,26.940895513082882
10.pgm,91.2829,28.52690931977567,129.1024,27.021460450378317
1.pgm,136.8183,26.76936170958345,188.2317,25.383875963157088
2.pgm,101.1159,28.082609091411804,140.9687,26.639576661294086
3.pgm,104.8299,27.925951893560953,139.4808,26.685659312363175
4.pgm,103.6054,27.97697969077571,138.1316,26.727873185257703
5.pgm,136.6985,26.77316611810673,191.7829,25.30270479444702
6.pgm,125.9731,27.12802544074185,169.1558,25.847934674355425
7.pgm,107.1206,27.83207364302724,148.6306,26.40972129888553
8.pgm,112.1396,27.633213582235246,150.0946,26.367152930909196
9.pgm,131.8796,26.929027396401693,204.5673,25.02244147740763
10.pgm,166.5417,25.91557367395331,255.9348,24.049510190197253
1.pgm,99.2001,28.165682509170956,146.8171,26.46303719435407
2.pgm,150.7191,26.349120687458118,231.8423,24.478876842851793
3.pgm,103.9087,27.964284494626863,148.5835,26.41109776590166
4.pgm,150.729,26.348835430037525,241.6978,24.298076635103577
5.pgm,147.921,26.43050526717511,223.2795,24.642315099217505
6.pgm,144.0445,26.54583680446909,233.7769,24.442787654970395
7.pgm,105.2046,27.910456314024632,150.0638,26.36804421165227
8.pgm,142.0391,26.60672449042557,220.7155,24.692475278054943
9.pgm,108.8686,27.7617772273858,160.135,26.08594096746152
10.pgm,108.7808,27.765281124716044,157.9262,26.146261753084808
1.pgm,80.9857,29.04672020499862,114.9125,27.527130877431464
2.pgm,89.9025,28.593085921479343,127.4224,27.078345801113667
3.pgm,75.1696,29.370381216269365,102.6534,28.017070225847306
4.pgm,87.6952,28.7010453797579,123.7353,27.205867452468905
5.pgm,83.5327,28.912238416774212,123.5296,27.213093257307015
6.pgm,87.3745,28.716956573543698,122.0457,27.265578782140043
7.pgm,82.9476,28.942765361716106,117.6734,27.42402058931934
8.pgm,84.4751,28.863516463112102,114.739,27.533693003692
9.pgm,76.7533,29.279833038720376,110.017,27.71620562657448
10.pgm,80.4765,29.07411280627976,116.2774,27.475850486250163
1.pgm,64.509,30.034600512300695,77.197,29.254799375886698
2.pgm,63.6861,30.09035706429401,77.3014,29.248930014027703
3.pgm,62.161,30.19562368411787,80.1134,29.093751973512973
4.pgm,61.147,30.267052063706068,74.422,29.413790238938628
